mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.03768380482991537,0.03837625417911085,0.0033586819966634116,0.0010373690065824885,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.6547326694456412,0.5644790555792344,0.6099159673517345,0.6097092307922034,0.03684617355972803,12
0.02081894874572754,0.004907273801641011,0.005875031153361003,0.0020485549243013574,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.8375939217320052,0.7094974457696721,0.82456897495835,0.7905534474866758,0.0575613809793471,9
0.030298312505086262,0.0013455374439270342,0.004190683364868164,0.0016635184766549261,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.9264240973530364,0.7451306230117976,0.9149260636031917,0.8621602613226752,0.08288547672304351,2
0.06287217140197754,0.004434334203473283,0.0033666292826334634,0.0002295042995698778,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.9477111977456083,0.7477813745462458,0.8968352216220077,0.8641092646379539,0.08483798184981255,1
0.08771149317423503,0.004926271769900542,0.0032602945963541665,0.00020880425777031273,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.9488107101926434,0.7437339391341485,0.8894818683883416,0.8606755059050446,0.08616447603888705,5
0.14559467633565268,0.014090906528517463,0.0033357938130696616,0.00047670944145914557,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.948658324934623,0.74440719659821,0.8892244281457234,0.8607633165595189,0.08577939539390665,4
0.011274894078572592,0.0007933926559405722,0.003345012664794922,0.0004826892723353096,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.05849331171453498,0.07552468170845084,-0.009768644903684454,0.041416449506433785,0.0368551426379635,20
0.014066298802693685,0.0004346576821684879,0.0030149618784586587,0.0003987944140380986,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.16402481240941869,0.16327571446050693,0.09031452947606311,0.13920501878199623,0.03457214915086455,18
0.02401844660441081,0.0008521666222301213,0.0028470357259114585,0.00022378191310202847,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.33678468082605684,0.30191647814020683,0.2641588817210716,0.3009533468957784,0.029657178897695965,16
0.03899216651916504,0.0019485170943574798,0.0035154024759928384,2.9156901562760897e-06,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.571990585336333,0.49964397316582554,0.504048788563445,0.5252277823552012,0.03311515671774167,14
0.07686980565388997,0.0025846512067078677,0.003689845403035482,0.0002243988213448163,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.7901914997814933,0.6679141417009371,0.7510022295660724,0.736369290349501,0.05098058622245038,11
0.14627861976623535,0.004379358366760277,0.004203399022420247,0.00048487228629556816,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.9195966831187932,0.7492271883694435,0.8932821478934848,0.8540353397939072,0.07488513490580526,8
0.01036985715230306,0.00024184031267828832,0.0032204786936442056,0.0004939630336342868,0.05,8,"{'learning_rate': 0.05, 'n_estimators': 8}",0.4087601544888084,0.3705591117020389,0.33565034094587964,0.37165653571224233,0.029857042314604006,15
0.014038801193237305,0.0006959501079752509,0.0035402774810791016,0.0007638831808670553,0.05,16,"{'learning_rate': 0.05, 'n_estimators': 16}",0.6557262848831702,0.5670137115777634,0.5905844792585566,0.6044414919064968,0.03751881985760101,13
0.023134549458821613,0.0008754301323261832,0.003875573476155599,0.0008893724463636092,0.05,32,"{'learning_rate': 0.05, 'n_estimators': 32}",0.8389140686868399,0.7067531015001118,0.8138907913161784,0.7865193205010433,0.05732090004451951,10
0.03886842727661133,0.0015273897444862267,0.0028426647186279297,0.00022811172321506653,0.05,64,"{'learning_rate': 0.05, 'n_estimators': 64}",0.9281874168623967,0.7365544475337884,0.907419497500912,0.8573871206323657,0.08586123605276139,7
0.07649938265482585,0.004383850424298083,0.0031862258911132812,0.00025945601769030737,0.05,128,"{'learning_rate': 0.05, 'n_estimators': 128}",0.948352141943249,0.7405816908755839,0.893682813654153,0.8608722154909954,0.08793763547000572,3
0.14584732055664062,0.021405491502684296,0.0033926963806152344,0.000637845438919278,0.05,256,"{'learning_rate': 0.05, 'n_estimators': 256}",0.9497563311338914,0.7393090838748471,0.8853409045071188,0.8581354398386191,0.08804208823284111,6
0.01326457659403483,0.0008088478191457476,0.00335693359375,0.00024968424825712803,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",-0.035364718018237706,-0.0239618138850477,-0.11140014234936535,-0.056908891417550254,0.038811328902381155,24
0.02001468340555827,0.0007115928674256211,0.0028347174326578775,0.000629917116596276,0.001,16,"{'learning_rate': 0.001, 'n_estimators': 16}",-0.0245188693903875,-0.011977638290252335,-0.09957795246617729,-0.04535815338227237,0.03867954307642057,23
0.0240174134572347,0.0007700019605967081,0.0030596256256103516,0.0004679348346743905,0.001,32,"{'learning_rate': 0.001, 'n_estimators': 32}",-0.0032622517253368954,0.011455819451601679,-0.07637476293092638,-0.02272706506822053,0.038407568865771645,22
0.0399016539255778,0.0023285403918449393,0.003177086512247721,0.00023886498409471653,0.001,64,"{'learning_rate': 0.001, 'n_estimators': 64}",0.03791455873450433,0.05538773481796644,-0.03167954412677898,0.020540916475230597,0.03760815824370597,21
0.07081906000773112,0.001243740803862429,0.003542741139729818,0.0007692089700057992,0.001,128,"{'learning_rate': 0.001, 'n_estimators': 128}",0.1217939821277757,0.12896710618047602,0.051215146848530346,0.10065874505226069,0.03508433154242125,19
0.13634912172953287,0.00043824328300817516,0.003521521886189779,0.0003989768211566608,0.001,256,"{'learning_rate': 0.001, 'n_estimators': 256}",0.2732447581200649,0.24998767665599353,0.19948368675131223,0.2409053738424569,0.030790042553441824,17
